time,PWM0,PWM1,PWM2,PWM3,ActivationTime
1.650000,37916,38414,37812,37763,0.022568
1.655000,37657,38429,38062,37798,0.022039
1.660000,37790,38280,38024,38031,0.022239
1.665000,37778,38421,37988,37975,0.022030
1.670000,37912,38552,37793,37661,0.022046
1.675000,37793,38339,37964,38092,0.022007
1.680000,37859,38370,37931,37896,0.022328
1.685000,37843,38269,37981,38069,0.022210
1.690000,37816,38710,37766,37632,0.023094
1.695000,37819,38208,38036,38107,0.022123
1.700000,37981,38563,37745,37613,0.022233
1.705000,37647,38306,38176,38002,0.021927
1.710000,37923,38534,37697,37834,0.022272
1.715000,37782,38394,38040,37863,0.023145
1.720000,37772,38502,37937,37716,0.020752
1.725000,37812,38287,37954,38105,0.021090
1.730000,37696,38409,38033,37937,0.020771
1.735000,37921,38429,37799,37883,0.020734
1.740000,37797,38369,37995,37920,0.020657
1.745000,37919,38433,37862,37892,0.020979
1.750000,37769,38367,38030,37956,0.020573
1.755000,37880,38749,37691,37633,0.020933
1.760000,37827,38407,37912,37872,0.020720
1.765000,37949,38334,37894,37934,0.021037
1.770000,37664,38649,37960,37656,0.022091
1.775000,37920,38398,37900,37883,0.019971
1.780000,37836,38701,37746,37569,0.020161
1.785000,37754,38254,38118,38055,0.021774
1.790000,37975,38452,37808,37856,0.020104
1.795000,37822,38689,37762,37744,0.020479
1.800000,37855,38506,37926,37818,0.019987
1.805000,37871,38577,37864,37820,0.019949
1.810000,37726,38517,37943,37802,0.019983
1.815000,37892,38329,37972,37945,0.019983
1.820000,37896,38672,37741,37777,0.020968
1.825000,37916,38655,37759,37609,0.020051
1.830000,37694,38346,38137,37959,0.020132
1.835000,37977,38766,37602,37607,0.020172
1.840000,37767,38323,38032,38059,0.020504
1.845000,38037,38642,37643,37681,0.020332
1.850000,37716,38457,38072,37796,0.020020
1.855000,37630,38519,38102,37912,0.020056
1.860000,37962,38543,37728,37796,0.020123
1.865000,37865,38389,37856,37952,0.020250
1.870000,37896,38485,37914,37911,0.020011
1.875000,38008,38682,37690,37651,0.020149
1.880000,37763,38522,38052,37802,0.020484
1.885000,37794,38584,37830,37861,0.020136
1.890000,38114,38575,37627,37701,0.020228
1.895000,37866,38750,37680,37684,0.020115
1.900000,37688,38370,38224,37916,0.020189
1.905000,38010,38696,37616,37635,0.020318
1.910000,37743,38362,38111,37980,0.019280
1.915000,38030,38571,37700,37871,0.018992
1.920000,37804,38615,37874,37825,0.019734
1.925000,37884,38435,37938,38023,0.019203
1.930000,38035,38786,37610,37521,0.019067
1.935000,37834,38492,37998,37931,0.019126
1.940000,38009,38699,37682,37668,0.018928
1.945000,37844,38470,37933,37963,0.018936
1.950000,37819,38571,37987,37835,0.019541
1.955000,37983,38707,37669,37781,0.019588
1.960000,38058,38562,37799,37826,0.018831
1.965000,37866,38640,37894,37713,0.019149
1.970000,38058,38643,37693,37812,0.019043
1.975000,37933,38660,37825,37704,0.019206
1.980000,37849,38488,37975,37978,0.018970
1.985000,38075,38665,37640,37745,0.019181
1.990000,37826,38469,37946,37924,0.019262
1.995000,37935,38675,37786,37633,0.018829
2.000000,37739,38311,38190,38173,0.018977
2.005000,38146,38662,37529,37878,0.019110
2.010000,37803,38604,37993,37795,0.018960
2.015000,38076,38611,37705,37773,0.018777
2.020000,37747,38652,38016,37864,0.019151
2.025000,38158,38672,37514,37828,0.018639
2.030000,37949,38567,37848,37889,0.020673
2.035000,37945,38385,37991,37993,0.020134
2.040000,38009,38685,37753,37649,0.018567
2.045000,37808,38557,37958,37977,0.018323
2.050000,37970,38625,37797,37783,0.018166
2.055000,37949,38616,37784,37743,0.018222
2.060000,37856,38342,38001,38236,0.018405
2.065000,38189,38889,37475,37464,0.018458
2.070000,37711,38349,38214,38137,0.019073
2.075000,38076,38719,37613,37856,0.018436
2.080000,38155,38712,37593,37674,0.018250
2.085000,37836,38286,38171,38162,0.018516
2.090000,37935,38666,37881,37874,0.018334
2.095000,38023,38619,37786,37888,0.018324
2.100000,38029,38718,37781,37745,0.018124
2.105000,37930,38426,38011,38157,0.018180
2.110000,38265,38747,37513,37779,0.018727
2.115000,37993,38403,37966,38052,0.018200
2.120000,38046,38793,37700,37729,0.018446
2.125000,38111,38580,37765,37918,0.018593
2.130000,38014,38690,37838,37821,0.018333
2.135000,37951,38543,37917,38137,0.018371
2.140000,38036,38682,37733,37952,0.018296
2.145000,38087,38702,37739,37753,0.018400
2.150000,37861,38541,38053,37947,0.018462
2.155000,38259,38550,37688,37892,0.018647
2.160000,38018,38646,37839,37898,0.018385
2.165000,38033,38442,37942,38088,0.018250
2.170000,38017,38689,37811,37982,0.018334
2.175000,38155,38478,37719,38167,0.018256
2.180000,37990,38542,38048,37907,0.019692
2.185000,38146,38557,37778,38014,0.017440
2.190000,38063,38726,37717,37844,0.017338
2.195000,38011,38490,37969,38141,0.017380
2.200000,38118,38833,37655,37751,0.017311
2.205000,38073,38548,37871,38050,0.017340
2.210000,38062,38565,37928,38099,0.017207
2.215000,38193,38748,37603,37762,0.017281
2.220000,37945,38487,38060,38039,0.017410
2.225000,38025,38508,37981,38084,0.017124
2.230000,38121,38643,37765,37983,0.017152
2.235000,38170,38571,37712,38023,0.017189
2.240000,37906,38375,38121,38357,0.017277
2.245000,38236,38684,37723,37803,0.017272
2.250000,38007,38610,37904,37912,0.017190
2.255000,38103,38507,37815,38146,0.017227
2.260000,38149,38485,37840,38071,0.017305
2.265000,38011,38651,37899,38040,0.018113
2.270000,38034,38560,37983,37884,0.017093
2.275000,38068,38390,37924,38373,0.016970
2.280000,38209,38706,37694,38004,0.016979
2.285000,38107,38590,37976,37927,0.016889
2.290000,37970,38528,38020,38233,0.016926
2.295000,38093,38518,37867,38278,0.017313
2.300000,38252,38732,37634,37948,0.018593
2.305000,38103,38529,37982,37944,0.017517
2.310000,38067,38533,37946,38084,0.017472
2.315000,38076,38544,37850,38193,0.016746
2.320000,38184,38625,37788,37889,0.016676
2.325000,38095,38443,37940,38224,0.016964
2.330000,37961,38564,38097,38088,0.017208
2.335000,38151,38591,37823,38053,0.017030
2.340000,38168,38520,37861,38062,0.016720
2.345000,38040,38450,38005,38228,0.017109
2.350000,38122,38530,37877,38052,0.016742
2.355000,37983,38339,38107,38489,0.016894
2.360000,38296,38611,37722,37990,0.016926
2.365000,38044,38638,37989,38064,0.017155
2.370000,38181,38644,37756,37981,0.016846
2.375000,37938,38429,38136,38327,0.016928
2.380000,38284,38654,37648,37944,0.016782
2.385000,38139,38348,38035,38307,0.016925
2.390000,38109,38546,37950,38230,0.017372
2.395000,38094,38548,38036,38174,0.017472
2.400000,38123,38639,37979,37961,0.017417
2.405000,38127,38456,37831,38298,0.017315
2.410000,38131,38500,37987,38138,0.017161
2.415000,37983,38520,38091,38250,0.017076
2.420000,38208,38657,37815,37998,0.017022
2.425000,37977,38423,38106,38270,0.017222
2.430000,38139,38563,37885,38097,0.017451
2.435000,38125,38398,37968,38347,0.017627
2.440000,38019,38667,37968,38114,0.017497
2.445000,38152,38495,37971,38204,0.016877
2.450000,38093,38454,38072,38254,0.016963
2.455000,38212,38404,37977,38375,0.017332
2.460000,38148,38625,37963,37960,0.017433
2.465000,38036,38505,38089,38226,0.017061
2.470000,38129,38470,37984,38358,0.017056
2.475000,38163,38566,37985,38277,0.017175
2.480000,38174,38705,37817,37987,0.017162
2.485000,38262,38384,37878,38347,0.016943
2.490000,37885,38479,38282,38300,0.017183
2.495000,38326,38594,37802,38159,0.017061
2.500000,38147,38498,37963,38201,0.016957
2.505000,38136,38504,37943,38303,0.017133
2.510000,38029,38518,38057,38216,0.016961
2.515000,38138,38586,37950,38222,0.016946
2.520000,38197,38460,38062,38257,0.017002
2.525000,38034,38615,37984,38169,0.016956
2.530000,38087,38439,38112,38324,0.016929
2.535000,38244,38741,37838,37885,0.016957
2.540000,38088,38367,38139,38262,0.017054
2.545000,37930,38393,38177,38559,0.017089
2.550000,38060,38562,38028,38289,0.016909
2.555000,38152,38691,37929,38080,0.016947
2.560000,38210,38361,38088,38314,0.016988
2.565000,38049,38519,38046,38312,0.016829
2.570000,38012,38678,38043,38172,0.017178
2.575000,38283,38370,38051,38332,0.017192
2.580000,37966,38615,38106,38256,0.017027
2.585000,38197,38668,37929,38036,0.020716
2.590000,38001,38296,38284,38544,0.017096
2.595000,38187,38702,37893,37937,0.016954
2.600000,38054,38418,38092,38265,0.017189
2.605000,37983,38428,38216,38436,0.017131
2.610000,38191,38534,37937,38288,0.017203
2.615000,38098,38546,38066,38227,0.016841
2.620000,37983,38488,38202,38455,0.017279
2.625000,38235,38800,37747,37896,0.016992
2.630000,38125,38312,38208,38315,0.016993
2.635000,37972,38540,38168,38350,0.017156
2.640000,38072,38613,38035,38138,0.017070
2.645000,37954,38252,38376,38572,0.017092
2.650000,38144,38635,37997,38157,0.016957
2.655000,37979,38596,38118,38172,0.017012
2.660000,37949,38318,38347,38486,0.017462
2.665000,38250,38634,37861,38167,0.017195
2.670000,38143,38565,38009,38281,0.016761
2.675000,38152,38618,37963,38200,0.016897
2.680000,38072,38582,38115,38223,0.016981
2.685000,37987,38307,38323,38526,0.016944
2.690000,38058,38584,38167,38125,0.017286
2.695000,38070,38628,37983,38229,0.017024
2.700000,38019,38492,38171,38376,0.017154
2.705000,38139,38570,38046,38132,0.017166
2.710000,38032,38511,38139,38342,0.016964
2.715000,38125,38539,38085,38255,0.017048
2.720000,38070,38500,38151,38253,0.016675
2.725000,38093,38624,38070,38224,0.017245
2.730000,38012,38676,38142,38134,0.016995
2.735000,38133,38465,38016,38336,0.017508
2.740000,38050,38494,38226,38491,0.017275
2.745000,38120,38810,37928,38001,0.017091
2.750000,37930,38508,38285,38359,0.016997
2.755000,38125,38547,38110,38338,0.017248
2.760000,38054,38664,38142,38144,0.016914
2.765000,38131,38593,38082,38154,0.017038
2.770000,37939,38505,38345,38295,0.016975
2.775000,38205,38621,38012,38231,0.017018
2.780000,38047,38665,38079,38309,0.017090
2.785000,38085,38598,38051,38310,0.016980
2.790000,38001,38733,38159,38110,0.017011
2.795000,38114,38446,38130,38317,0.017429
